Pair,Left,Right,BestWindow,PValue,Beta,HalfLife,Z,Conviction,ConvictionBand,Signal,Action,Notes,StationarityP,Stationary,VolRegime,SpreadVol,SuggestedNotional,JohansenTrace,JohansenCrit,JohansenPass,GrowthPhase,PhaseGuidance,SR_Deviation,SR_Signal_Strength,JohansenStrength,NL_Description
AVGO-QQQ,AVGO,QQQ,60,0.007215692168488017,1.7716940263151235,3.2411084639878402,-1.0809213618170326,3.307635601871491,Low,HOLD,HOLD,β=1.772; HL=3.2; Z=-1.08; p=0.0072; W=60,0.0015986755869356155,True,Normal,7.97840636454052,,8.318800507542647,15.4943,False,Deterioration,"Tight entries, faster exits, entropy high",-1.0718758357470866,Mild,-7.175499492457353,"AVGO-QQQ spread is mild stretched at -1.07s, HL=3.2d, in a deterioration regime, with weak Johansen evidence. Conviction: Low."
AAPL-TXN,AAPL,TXN,30,0.0033231333342702467,-0.6169228860544982,13.031361851937175,2.177680380436645,2.991560303775861,Low,HOLD,HOLD,β=-0.617; HL=13.0; Z=2.18; p=0.0033; W=30,6.5097562198646695e-06,True,Normal,3.7680508676945443,,,,False,Reset,"Expect longer holding periods, reversion is slower",2.1410781033614974,Severe,,"AAPL-TXN spread is severe stretched at +2.14s, HL=13.0d, in a reset regime, with weak Johansen evidence. Conviction: Low."
COST-MSFT,COST,MSFT,90,0.016894000738311446,-1.0969023320949343,3.073875659213509,-2.231631488754579,2.960200464125364,Low,HOLD,HOLD,β=-1.097; HL=3.1; Z=-2.23; p=0.0169; W=90,0.025944943270718192,True,Normal,12.721948321000294,,13.101208750648052,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-2.2191989046162264,Severe,-2.393091249351949,"COST-MSFT spread is severe stretched at -2.22s, HL=3.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
CSCO-NVDA,CSCO,NVDA,180,0.014014674967753478,0.15100377448542984,5.885494263938941,-0.8086451240019776,2.527534881856323,Low,HOLD,HOLD,β=0.151; HL=5.9; Z=-0.81; p=0.0140; W=180,0.0030429019481906265,True,Low,0.7870472586859228,,12.334753882332903,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.8063957590773181,Inside Band,-3.159546117667098,"CSCO-NVDA spread is inside its ±1s band, HL=5.9d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMAT-QQQ,AMAT,QQQ,30,0.04639483099435693,1.1973009100141878,6.222368976929662,2.1786759925814367,2.480097676503524,Low,HOLD,HOLD,β=1.197; HL=6.2; Z=2.18; p=0.0464; W=30,0.046302009019081686,True,Normal,4.122344512758255,,,,False,Maturity,Default regime,2.142056981337258,Severe,,"AMAT-QQQ spread is severe stretched at +2.14s, HL=6.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QCOM-TSLA,QCOM,TSLA,90,0.010922183923881964,0.11028604387777523,6.824025368195284,0.683702747446472,2.441882610229293,Low,HOLD,HOLD,β=0.110; HL=6.8; Z=0.68; p=0.0109; W=90,0.0022729393237902094,True,Low,2.3530675860654946,,6.391708576808623,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.6798937888544799,Inside Band,-9.102591423191377,"QCOM-TSLA spread is inside its ±1s band, HL=6.8d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
NVDA-SPY,NVDA,SPY,252,0.09534703466052075,0.6279964549039667,9.056754418149213,-0.7979697690376429,2.3612844788310903,Low,HOLD,HOLD,β=0.628; HL=9.1; Z=-0.80; p=0.0953; W=252,0.02970128844061765,True,Low,3.342512765190982,,11.78933357848891,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",-0.7963849218544536,Inside Band,-3.7049664215110916,"NVDA-SPY spread is inside its ±1s band, HL=9.1d, in a reset regime, with weak Johansen evidence. Conviction: Low."
COST-NVDA,COST,NVDA,90,0.10293854186037338,-1.4360492259870727,3.830477709577013,-1.988625824965081,2.2878980730986176,Low,HOLD,HOLD,β=-1.436; HL=3.8; Z=-1.99; p=0.1029; W=90,0.036520442106941366,True,Normal,11.060101317359551,,10.471616577195055,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.9775470433592621,Mild,-5.0226834228049455,"COST-NVDA spread is mild stretched at -1.98s, HL=3.8d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
ADBE-PEP,ADBE,PEP,90,0.01208675725873045,-2.629241103145816,3.064202630941785,-0.6022760027971557,2.27193834951096,Low,HOLD,HOLD,β=-2.629; HL=3.1; Z=-0.60; p=0.0121; W=90,0.0026504860287982174,True,Low,8.896667261570665,,12.330096693148004,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.5989206786242272,Inside Band,-3.164203306851997,"ADBE-PEP spread is inside its ±1s band, HL=3.1d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QQQ-SPY,QQQ,SPY,180,0.07056253623438966,1.1146889034087115,6.073583628204853,-0.3105887621084478,2.221435920531483,Low,HOLD,HOLD,β=1.115; HL=6.1; Z=-0.31; p=0.0706; W=180,0.02074013197973672,True,Normal,2.0468399280824663,,15.502246413980695,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.3097248139478224,Inside Band,0.007946413980693734,"QQQ-SPY spread is inside its ±1s band, HL=6.1d, in a maturity regime, with strong Johansen pass (gap +0.01). Conviction: Low."
